**OXXXXX
**XXXO*X
OXXXXXOX
XXXXXXXX
XXXXXXXX
XXXXXXXX
X*XXXO*X
XXXX***X
Node,Depth,Value
root,0,-Infinity
b1,1,Infinity
a2,2,182
b1,1,182
b7,2,238
b1,1,182
root,0,182
a2,1,Infinity
b7,2,256
a2,1,256
root,0,256
g2,1,Infinity
a2,2,142
g2,1,142
b7,2,198
g2,1,142
root,0,256
b7,1,Infinity
pass,2,204
b7,1,204
root,0,256
g7,1,Infinity
b7,2,284
g7,1,284
f8,2,194
g7,1,194
g8,2,212
g7,1,194
root,0,256
f8,1,Infinity
pass,2,228
f8,1,228
root,0,256
g8,1,Infinity
a2,2,166
g8,1,166
b7,2,222
g8,1,166
root,0,256
h8,1,Infinity
b7,2,351
h8,1,351
g7,2,351
h8,1,351
root,0,351
